accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.798,umist,14,25,5,20,10304,402,0.081,8
0.191,umist,14,25,10,20,10304,402,0.081,9
0.11,umist,14,25,20,20,10304,402,0.081,12
0.058,umist,14,25,50,20,10304,402,0.081,17
0.705,umist,14,26,2,20,10304,402,0.081,8
0.757,umist,14,26,5,20,10304,402,0.081,8
0.092,umist,14,26,10,20,10304,402,0.081,10
0.046,umist,14,26,20,20,10304,402,0.081,12
0.064,umist,14,26,50,20,10304,402,0.081,18
0.746,umist,14,27,2,20,10304,402,0.081,8
0.757,umist,14,27,5,20,10304,402,0.081,8
0.225,umist,14,27,10,20,10304,402,0.081,9
0.087,umist,14,27,20,20,10304,402,0.081,12
0.092,umist,14,27,50,20,10304,402,0.081,17
0.711,umist,14,28,2,20,10304,402,0.081,7
0.74,umist,14,28,5,20,10304,402,0.081,9
0.197,umist,14,28,10,20,10304,402,0.081,10
0.231,umist,14,28,20,20,10304,402,0.081,13
0.052,umist,14,28,50,20,10304,402,0.081,17
