accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.901,mnist,38,24,5,10,784,60000,0.043,200
0.351,mnist,38,24,10,10,784,60000,0.043,285
0.212,mnist,38,24,20,10,784,60000,0.043,417
0.867,mnist,38,24,50,10,784,60000,0.043,808
0.679,mnist,38,25,2,10,784,60000,0.043,539
0.9,mnist,38,25,5,10,784,60000,0.043,208
0.268,mnist,38,25,10,10,784,60000,0.043,289
0.186,mnist,38,25,20,10,784,60000,0.043,438
0.743,mnist,38,25,50,10,784,60000,0.043,823
0.68,mnist,38,26,2,10,784,60000,0.043,553
0.895,mnist,38,26,5,10,784,60000,0.043,208
0.103,mnist,38,26,10,10,784,60000,0.043,294
0.187,mnist,38,26,20,10,784,60000,0.043,438
0.199,mnist,38,26,50,10,784,60000,0.043,843
0.736,mnist,38,27,2,10,784,60000,0.043,520
0.876,mnist,38,27,5,10,784,60000,0.043,214
0.114,mnist,38,27,10,10,784,60000,0.043,314
0.234,mnist,38,27,20,10,784,60000,0.043,453
0.098,mnist,38,27,50,10,784,60000,0.043,863
0.687,mnist,38,28,2,10,784,60000,0.043,556
0.901,mnist,38,28,5,10,784,60000,0.043,215
0.114,mnist,38,28,10,10,784,60000,0.043,319
0.098,mnist,38,28,20,10,784,60000,0.043,468
0.291,mnist,38,28,50,10,784,60000,0.043,895
0.745,mnist,38,29,2,10,784,60000,0.043,532
0.901,mnist,38,29,5,10,784,60000,0.043,229
0.198,mnist,38,29,10,10,784,60000,0.043,323
0.133,mnist,38,29,20,10,784,60000,0.043,468
0.195,mnist,38,29,50,10,784,60000,0.043,935
0.716,mnist,38,30,2,10,784,60000,0.043,606
0.874,mnist,38,30,5,10,784,60000,0.043,239
0.114,mnist,38,30,10,10,784,60000,0.043,337
0.114,mnist,38,30,20,10,784,60000,0.043,498
0.165,mnist,38,30,50,10,784,60000,0.043,954
0.724,mnist,38,31,2,10,784,60000,0.043,629
0.875,mnist,38,31,5,10,784,60000,0.043,253
0.114,mnist,38,31,10,10,784,60000,0.043,351
0.097,mnist,38,31,20,10,784,60000,0.043,513
0.114,mnist,38,31,50,10,784,60000,0.043,1044
0.73,mnist,38,32,2,10,784,60000,0.043,548
0.726,mnist,38,32,5,10,784,60000,0.043,238
0.114,mnist,38,32,10,10,784,60000,0.043,359
0.096,mnist,38,32,20,10,784,60000,0.043,504
0.114,mnist,38,32,50,10,784,60000,0.043,970
0.768,mnist,38,33,2,10,784,60000,0.043,566
0.878,mnist,38,33,5,10,784,60000,0.043,239
0.114,mnist,38,33,10,10,784,60000,0.043,340
0.097,mnist,38,33,20,10,784,60000,0.043,510
0.128,mnist,38,33,50,10,784,60000,0.043,1004
0.743,mnist,38,34,2,10,784,60000,0.043,605
0.85,mnist,38,34,5,10,784,60000,0.043,261
0.101,mnist,38,34,10,10,784,60000,0.043,366
0.168,mnist,38,34,20,10,784,60000,0.043,555
0.098,mnist,38,34,50,10,784,60000,0.043,1048
0.751,mnist,38,35,2,10,784,60000,0.043,564
0.77,mnist,38,35,5,10,784,60000,0.043,246
0.103,mnist,38,35,10,10,784,60000,0.043,345
0.089,mnist,38,35,20,10,784,60000,0.043,552
0.096,mnist,38,35,50,10,784,60000,0.043,976
0.729,mnist,38,36,2,10,784,60000,0.043,549
0.595,mnist,38,36,5,10,784,60000,0.043,252
0.23,mnist,38,36,10,10,784,60000,0.043,357
0.114,mnist,38,36,20,10,784,60000,0.043,545
0.096,mnist,38,36,50,10,784,60000,0.043,1011
0.685,mnist,38,37,2,10,784,60000,0.043,533
0.738,mnist,38,37,5,10,784,60000,0.043,261
0.117,mnist,38,37,10,10,784,60000,0.043,350
0.114,mnist,38,37,20,10,784,60000,0.043,540
0.119,mnist,38,37,50,10,784,60000,0.043,1115
0.769,mnist,38,38,2,10,784,60000,0.043,605
0.743,mnist,38,38,5,10,784,60000,0.043,271
0.424,mnist,38,38,10,10,784,60000,0.043,390
0.114,mnist,38,38,20,10,784,60000,0.043,597
0.17,mnist,38,38,50,10,784,60000,0.043,1163
0.712,mnist,38,39,2,10,784,60000,0.043,606
0.709,mnist,38,39,5,10,784,60000,0.043,292
0.224,mnist,38,39,10,10,784,60000,0.043,423
0.101,mnist,38,39,20,10,784,60000,0.043,666
0.096,mnist,38,39,50,10,784,60000,0.043,1196
0.781,mnist,38,40,2,10,784,60000,0.043,640
0.478,mnist,38,40,5,10,784,60000,0.043,277
0.103,mnist,38,40,10,10,784,60000,0.043,414
0.114,mnist,38,40,20,10,784,60000,0.043,626
0.096,mnist,38,40,50,10,784,60000,0.043,1156
0.765,mnist,38,41,2,10,784,60000,0.043,546
0.204,mnist,38,41,5,10,784,60000,0.043,277
0.098,mnist,38,41,10,10,784,60000,0.043,383
0.114,mnist,38,41,20,10,784,60000,0.043,591
0.096,mnist,38,41,50,10,784,60000,0.043,1145
0.764,mnist,38,42,2,10,784,60000,0.043,583
0.816,mnist,38,42,5,10,784,60000,0.043,302
0.194,mnist,38,42,10,10,784,60000,0.043,402
0.103,mnist,38,42,20,10,784,60000,0.043,616
0.098,mnist,38,42,50,10,784,60000,0.043,1161
0.773,mnist,38,43,2,10,784,60000,0.043,569
0.263,mnist,38,43,5,10,784,60000,0.043,292
0.101,mnist,38,43,10,10,784,60000,0.043,407
