accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.174,fashion_mnist,8.000,14.000,50.000,10.000,784.000,60000.000,0.047,586.000
0.605,fashion_mnist,8.000,15.000,2.000,10.000,784.000,60000.000,0.047,294.000
0.799,fashion_mnist,8.000,15.000,5.000,10.000,784.000,60000.000,0.047,182.000
0.520,fashion_mnist,8.000,15.000,10.000,10.000,784.000,60000.000,0.047,242.000
0.101,fashion_mnist,8.000,15.000,20.000,10.000,784.000,60000.000,0.047,345.000
0.100,fashion_mnist,8.000,15.000,50.000,10.000,784.000,60000.000,0.047,611.000
0.627,fashion_mnist,8.000,16.000,2.000,10.000,784.000,60000.000,0.047,294.000
0.801,fashion_mnist,8.000,16.000,5.000,10.000,784.000,60000.000,0.047,181.000
0.100,fashion_mnist,8.000,16.000,10.000,10.000,784.000,60000.000,0.047,238.000
0.324,fashion_mnist,8.000,16.000,20.000,10.000,784.000,60000.000,0.047,344.000
0.184,fashion_mnist,8.000,16.000,50.000,10.000,784.000,60000.000,0.047,618.000
