accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.203,intel_img_class,9.000,14.000,10.000,6.000,67500.000,11885.000,-0.016,1151.000
0.163,intel_img_class,9.000,14.000,20.000,6.000,67500.000,11885.000,-0.016,2350.000
0.177,intel_img_class,9.000,14.000,50.000,6.000,67500.000,11885.000,-0.016,6580.000
0.334,intel_img_class,9.000,15.000,2.000,6.000,67500.000,11885.000,-0.016,297.000
0.337,intel_img_class,9.000,15.000,5.000,6.000,67500.000,11885.000,-0.016,627.000
0.167,intel_img_class,9.000,15.000,10.000,6.000,67500.000,11885.000,-0.016,1167.000
0.116,intel_img_class,9.000,15.000,20.000,6.000,67500.000,11885.000,-0.016,2327.000
0.217,intel_img_class,9.000,15.000,50.000,6.000,67500.000,11885.000,-0.016,6377.000
0.342,intel_img_class,9.000,16.000,2.000,6.000,67500.000,11885.000,-0.016,327.000
0.301,intel_img_class,9.000,16.000,5.000,6.000,67500.000,11885.000,-0.016,593.000
0.334,intel_img_class,9.000,16.000,10.000,6.000,67500.000,11885.000,-0.016,1206.000
0.166,intel_img_class,9.000,16.000,20.000,6.000,67500.000,11885.000,-0.016,2365.000
0.155,intel_img_class,9.000,16.000,50.000,6.000,67500.000,11885.000,-0.016,6477.000
0.341,intel_img_class,9.000,17.000,2.000,6.000,67500.000,11885.000,-0.016,302.000
0.404,intel_img_class,9.000,17.000,5.000,6.000,67500.000,11885.000,-0.016,1760.000
0.163,intel_img_class,9.000,17.000,10.000,6.000,67500.000,11885.000,-0.016,1136.000
0.163,intel_img_class,9.000,17.000,20.000,6.000,67500.000,11885.000,-0.016,2313.000
0.179,intel_img_class,9.000,17.000,50.000,6.000,67500.000,11885.000,-0.016,6324.000
0.340,intel_img_class,9.000,18.000,2.000,6.000,67500.000,11885.000,-0.016,327.000
0.295,intel_img_class,9.000,18.000,5.000,6.000,67500.000,11885.000,-0.016,599.000
0.176,intel_img_class,9.000,18.000,10.000,6.000,67500.000,11885.000,-0.016,1144.000
0.175,intel_img_class,9.000,18.000,20.000,6.000,67500.000,11885.000,-0.016,2349.000
0.154,intel_img_class,9.000,18.000,50.000,6.000,67500.000,11885.000,-0.016,6336.000
