accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.798,usps,22,22,2,10,256,7291,0.116,24
0.753,usps,22,22,5,10,256,7291,0.116,40
0.439,usps,22,22,10,10,256,7291,0.116,60
0.461,usps,22,22,20,10,256,7291,0.116,89
0.21,usps,22,22,50,10,256,7291,0.116,153
0.805,usps,22,23,2,10,256,7291,0.116,25
0.862,usps,22,23,5,10,256,7291,0.116,47
0.217,usps,22,23,10,10,256,7291,0.116,69
0.083,usps,22,23,20,10,256,7291,0.116,100
0.083,usps,22,23,50,10,256,7291,0.116,173
0.752,usps,22,24,2,10,256,7291,0.116,25
0.813,usps,22,24,5,10,256,7291,0.116,42
0.346,usps,22,24,10,10,256,7291,0.116,62
0.175,usps,22,24,20,10,256,7291,0.116,93
0.685,usps,22,24,50,10,256,7291,0.116,163
0.814,usps,22,25,2,10,256,7291,0.116,24
0.684,usps,22,25,5,10,256,7291,0.116,43
0.247,usps,22,25,10,10,256,7291,0.116,62
0.333,usps,22,25,20,10,256,7291,0.116,93
0.252,usps,22,25,50,10,256,7291,0.116,165
0.82,usps,22,26,2,10,256,7291,0.116,26
0.85,usps,22,26,5,10,256,7291,0.116,49
0.084,usps,22,26,10,10,256,7291,0.116,72
0.255,usps,22,26,20,10,256,7291,0.116,106
0.132,usps,22,26,50,10,256,7291,0.116,183
0.819,usps,22,27,2,10,256,7291,0.116,26
0.867,usps,22,27,5,10,256,7291,0.116,44
0.312,usps,22,27,10,10,256,7291,0.116,66
0.258,usps,22,27,20,10,256,7291,0.116,98
0.099,usps,22,27,50,10,256,7291,0.116,174
0.782,usps,22,28,2,10,256,7291,0.116,26
0.662,usps,22,28,5,10,256,7291,0.116,50
0.135,usps,22,28,10,10,256,7291,0.116,75
0.08,usps,22,28,20,10,256,7291,0.116,109
0.198,usps,22,28,50,10,256,7291,0.116,196
0.798,usps,22,29,2,10,256,7291,0.116,28
0.681,usps,22,29,5,10,256,7291,0.116,50
0.132,usps,22,29,10,10,256,7291,0.116,74
0.179,usps,22,29,20,10,256,7291,0.116,111
0.114,usps,22,29,50,10,256,7291,0.116,196
0.79,usps,22,30,2,10,256,7291,0.116,28
0.473,usps,22,30,5,10,256,7291,0.116,46
0.132,usps,22,30,10,10,256,7291,0.116,69
0.232,usps,22,30,20,10,256,7291,0.116,103
0.132,usps,22,30,50,10,256,7291,0.116,187
0.839,usps,22,31,2,10,256,7291,0.116,29
0.39,usps,22,31,5,10,256,7291,0.116,47
0.083,usps,22,31,10,10,256,7291,0.116,71
0.073,usps,22,31,20,10,256,7291,0.116,107
0.083,usps,22,31,50,10,256,7291,0.116,189
0.812,usps,22,32,2,10,256,7291,0.116,30
0.181,usps,22,32,5,10,256,7291,0.116,46
0.33,usps,22,32,10,10,256,7291,0.116,69
0.255,usps,22,32,20,10,256,7291,0.116,106
0.073,usps,22,32,50,10,256,7291,0.116,190
0.81,usps,22,33,2,10,256,7291,0.116,27
0.142,usps,22,33,5,10,256,7291,0.116,47
0.208,usps,22,33,10,10,256,7291,0.116,71
0.073,usps,22,33,20,10,256,7291,0.116,106
0.083,usps,22,33,50,10,256,7291,0.116,193
0.803,usps,22,34,2,10,256,7291,0.116,28
0.316,usps,22,34,5,10,256,7291,0.116,53
0.196,usps,22,34,10,10,256,7291,0.116,80
0.132,usps,22,34,20,10,256,7291,0.116,117
0.126,usps,22,34,50,10,256,7291,0.116,210
0.817,usps,22,35,2,10,256,7291,0.116,28
0.275,usps,22,35,5,10,256,7291,0.116,54
0.132,usps,22,35,10,10,256,7291,0.116,80
0.2,usps,22,35,20,10,256,7291,0.116,121
0.083,usps,22,35,50,10,256,7291,0.116,215
0.805,usps,22,36,2,10,256,7291,0.116,32
0.199,usps,22,36,5,10,256,7291,0.116,48
0.248,usps,22,36,10,10,256,7291,0.116,74
0.083,usps,22,36,20,10,256,7291,0.116,112
0.088,usps,22,36,50,10,256,7291,0.116,206
0.812,usps,22,37,2,10,256,7291,0.116,31
0.073,usps,22,37,5,10,256,7291,0.116,50
0.085,usps,22,37,10,10,256,7291,0.116,75
0.179,usps,22,37,20,10,256,7291,0.116,116
0.073,usps,22,37,50,10,256,7291,0.116,216
0.827,usps,22,38,2,10,256,7291,0.116,31
0.151,usps,22,38,5,10,256,7291,0.116,52
0.083,usps,22,38,10,10,256,7291,0.116,79
0.083,usps,22,38,20,10,256,7291,0.116,119
0.083,usps,22,38,50,10,256,7291,0.116,222
0.812,usps,22,39,2,10,256,7291,0.116,30
0.132,usps,22,39,5,10,256,7291,0.116,53
0.329,usps,22,39,10,10,256,7291,0.116,81
0.083,usps,22,39,20,10,256,7291,0.116,123
0.073,usps,22,39,50,10,256,7291,0.116,226
0.816,usps,22,40,2,10,256,7291,0.116,30
0.222,usps,22,40,5,10,256,7291,0.116,51
0.088,usps,22,40,10,10,256,7291,0.116,78
0.166,usps,22,40,20,10,256,7291,0.116,121
0.284,usps,22,40,50,10,256,7291,0.116,220
0.809,usps,22,41,2,10,256,7291,0.116,30
0.2,usps,22,41,5,10,256,7291,0.116,53
0.099,usps,22,41,10,10,256,7291,0.116,80
0.233,usps,22,41,20,10,256,7291,0.116,122
0.085,usps,22,41,50,10,256,7291,0.116,224
0.822,usps,22,42,2,10,256,7291,0.116,29
0.08,usps,22,42,5,10,256,7291,0.116,55
0.085,usps,22,42,10,10,256,7291,0.116,80
0.083,usps,22,42,20,10,256,7291,0.116,124
0.08,usps,22,42,50,10,256,7291,0.116,231
0.809,usps,22,43,2,10,256,7291,0.116,30
0.085,usps,22,43,5,10,256,7291,0.116,59
0.1,usps,22,43,10,10,256,7291,0.116,90
0.073,usps,22,43,20,10,256,7291,0.116,136
0.085,usps,22,43,50,10,256,7291,0.116,247
0.819,usps,22,44,2,10,256,7291,0.116,32
0.26,usps,22,44,5,10,256,7291,0.116,59
0.166,usps,22,44,10,10,256,7291,0.116,91
0.179,usps,22,44,20,10,256,7291,0.116,138
0.236,usps,22,44,50,10,256,7291,0.116,253
